,Unnamed: 0,Country Name,Counterpart-Area Name,Series Name,Series Code,Year,Value
93,2870,Ghana,Brazil,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,4279000.0
94,2881,Ghana,Brazil,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,17392000.0
95,2882,Ghana,Brazil,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,17392000.0
96,2886,Ghana,Brazil,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,17392000.0
97,2887,Ghana,Brazil,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,17392000.0
98,2888,Ghana,Brazil,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,17392000.0
99,2889,Ghana,Brazil,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,1715000.0
100,2892,Ghana,Brazil,"GG, commercial banks (TDS, current US$)",DT.TDS.PCBK.GG.CD,2020,15677000.0
101,2895,Ghana,Brazil,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,1715000.0
102,2897,Ghana,Brazil,"GG, private creditors (TDS, current US$)",DT.TDS.PRVT.GG.CD,2020,15677000.0
103,2911,Ghana,Brazil,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,2020,1715000.0
104,2914,Ghana,Brazil,"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,2020,15677000.0
105,2918,Ghana,Brazil,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,1715000.0
106,2920,Ghana,Brazil,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,2020,15677000.0
107,2930,Ghana,Brazil,"PS, bilateral (TDS, current US$)",DT.TDS.BLAT.PS.CD,2020,1715000.0
108,2933,Ghana,Brazil,"PS, commercial banks (TDS, current US$)",DT.TDS.PCBK.PS.CD,2020,15677000.0
109,2936,Ghana,Brazil,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,1715000.0
110,2938,Ghana,Brazil,"PS, private creditors (TDS, current US$)",DT.TDS.PRVT.PS.CD,2020,15677000.0
111,4200,Ghana,China,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,58209053.2
