Classification Name;Country Name;Data;SUM([Data])/1000;SUM([Data])/1000
United States;Angola;3042850;3042,85;3042,85
Korea, Republic Of;Myanmar;3008750,3;3008,7503;3008,7503
Germany, Fed.Rep. Of;Cameroon;2975731,7;2975,7317;2975,7317
Saudi Arabia;Benin;2921126,7;2921,1267;2921,1267
Korea, Republic Of;Kenya;2902309,7;2902,3097;2902,3097
Kuwait;Ghana;2871017,7;2871,0177;2871,0177
France;Somalia;2849621,6;2849,6216;2849,6216
Poland;Tanzania;2799543,9;2799,5439;2799,5439
Multiple Lenders;St. Lucia;2784444,4;2784,4444;2784,4444
India;Rwanda;2772000;2772;2772
Saudi Arabia;Kyrgyz Republic;2735833,3;2735,8333;2735,8333
Multiple Lenders;Nicaragua;2709158,9;2709,1589;2709,1589
Kuwait;Liberia;2701377,5;2701,3775;2701,3775
India;Honduras;2693463,7;2693,4637;2693,4637
India;Nicaragua;2693247,9;2693,2479;2693,2479
Trinidad & Tobago;Grenada;2689333,3;2689,3333;2689,3333
United Arab Emirates;Tanzania;2628921,5;2628,9215;2628,9215
Saudi Arabia;Cote d'Ivoire;2606593,4;2606,5934;2606,5934
United States;Uzbekistan;2582398,4;2582,3984;2582,3984
Korea, Republic Of;Cameroon;2581847;2581,847;2581,847
India;Burkina Faso;2568500;2568,5;2568,5
China;Comoros;2534325,4;2534,3254;2534,3254
China;St. Vincent and the Grenadines;2498760;2498,76;2498,76
Japan;Samoa;2496099,6;2496,0996;2496,0996
Congo, Rep.;Guinea;2489694,9;2489,6949;2489,6949
Japan;Moldova;2486220,3;2486,2203;2486,2203
Iraq;Mauritania;2474809,5;2474,8095;2474,8095
Japan;Fiji;2467384,5;2467,3845;2467,3845
France;Maldives;2453928,9;2453,9289;2453,9289
Korea, Republic Of;Sierra Leone;2431284,5;2431,2845;2431,2845
China;Central African Republic;2423714,7;2423,7147;2423,7147
Saudi Arabia;Lesotho;2387453,9;2387,4539;2387,4539
Japan;Zambia;2366859,5;2366,8595;2366,8595
Kuwait;St. Lucia;2328126,4;2328,1264;2328,1264
Kuwait;Cameroon;2320179,7;2320,1797;2320,1797
Angola;Mozambique;2308647,1;2308,6471;2308,6471
Multiple Lenders;Gambia, The;2225128,6;2225,1286;2225,1286
Czech Republic;Senegal;2199282,7;2199,2827;2199,2827
Kuwait;Madagascar;2194831,8;2194,8318;2194,8318
Hungary;Lao PDR;2148615,3;2148,6153;2148,6153
Turkey;Djibouti;2131000;2131;2131
Multiple Lenders;Grenada;2120058,8;2120,0588;2120,0588
Germany, Fed.Rep. Of;Honduras;2104757;2104,757;2104,757
Spain;Mozambique;2078563,5;2078,5635;2078,5635
Kuwait;Nicaragua;2048808,9;2048,8089;2048,8089
Poland;Mozambique;2048000;2048;2048
United Arab Emirates;Lesotho;2047552,4;2047,5524;2047,5524
Japan;Cabo Verde;1986575,5;1986,5755;1986,5755
Multiple Lenders;Chad;1922000;1922;1922
United Arab Emirates;Gambia, The;1785872,8;1785,8728;1785,8728
Kuwait;Uganda;1767425,7;1767,4257;1767,4257
China;Grenada;1756908,9;1756,9089;1756,9089
India;Benin;1734019,5;1734,0195;1734,0195
Saudi Arabia;Malawi;1732508,6;1732,5086;1732,5086
India;Guyana;1693742,3;1693,7423;1693,7423
Saudi Arabia;Nepal;1678035,4;1678,0354;1678,0354
Korea, Republic Of;Yemen, Rep.;1658099,8;1658,0998;1658,0998
Kuwait;Cabo Verde;1651713,6;1651,7136;1651,7136
Saudi Arabia;Uganda;1645146,6;1645,1466;1645,1466
Italy;Yemen, Rep.;1633205,5;1633,2055;1633,2055
Germany, Fed.Rep. Of;Nigeria;1632339;1632,339;1632,339
Belgium;Cameroon;1629478,2;1629,4782;1629,4782
Netherlands;Myanmar;1624072,9;1624,0729;1624,0729
Germany, Fed.Rep. Of;Cote d'Ivoire;1615087,6;1615,0876;1615,0876
Austria;Grenada;1605909,1;1605,9091;1605,9091
India;Madagascar;1589250;1589,25;1589,25
United Kingdom;Pakistan;1573314,2;1573,3142;1573,3142
Saudi Arabia;Congo, Rep.;1550666,6;1550,6666;1550,6666
Germany, Fed.Rep. Of;Nicaragua;1543840,2;1543,8402;1543,8402
Kuwait;Guinea-Bissau;1543801,7;1543,8017;1543,8017
Russian Federation;Tanzania;1538750;1538,75;1538,75
Kuwait;Lao PDR;1517549,8;1517,5498;1517,5498
Japan;Bhutan;1479174,5;1479,1745;1479,1745
Saudi Arabia;Ghana;1473305;1473,305;1473,305
Kuwait;Grenada;1471039,5;1471,0395;1471,0395
Japan;Vanuatu;1442664,1;1442,6641;1442,6641
Czech Republic;Ghana;1429313,8;1429,3138;1429,3138
Venezuela, Republic Bolivarian;Gambia, The;1428250;1428,25;1428,25
Saudi Arabia;Mozambique;1412143,6;1412,1436;1412,1436
Italy;Honduras;1400655,2;1400,6552;1400,6552
Multiple Lenders;Solomon Islands;1400500;1400,5;1400,5
Bulgaria;Afghanistan;1394904,7;1394,9047;1394,9047
Belgium;Ghana;1348206;1348,206;1348,206
Kuwait;Comoros;1330716,2;1330,7162;1330,7162
Kuwait;Chad;1328783,5;1328,7835;1328,7835
Trinidad & Tobago;St. Lucia;1303000;1303;1303
United Arab Emirates;Mauritania;1262772,8;1262,7728;1262,7728
Finland;Pakistan;1246333,3;1246,3333;1246,3333
Spain;Yemen, Rep.;1235855,2;1235,8552;1235,8552
Saudi Arabia;Sierra Leone;1223911,3;1223,9113;1223,9113
Saudi Arabia;Kenya;1218503,4;1218,5034;1218,5034
Brazil;Ghana;1215500;1215,5;1215,5
Saudi Arabia;Cameroon;1215096,2;1215,0962;1215,0962
Korea, Republic Of;Madagascar;1208539;1208,539;1208,539
Saudi Arabia;Cabo Verde;1171508,8;1171,5088;1171,5088
Saudi Arabia;Congo, Dem. Rep.;1167104,7;1167,1047;1167,1047
Saudi Arabia;Comoros;1148627,7;1148,6277;1148,6277
Portugal;Sao Tome and Principe;1142736,8;1142,7368;1142,7368
Libya;Mali;1100666,7;1100,6667;1100,6667
United Arab Emirates;St. Vincent and the Grenadines;1082427,3;1082,4273;1082,4273
Austria;Cabo Verde;1077340,1;1077,3401;1077,3401
United Arab Emirates;Senegal;1050026,4;1050,0264;1050,0264
United Arab Emirates;Tajikistan;1043673;1043,673;1043,673
Romania;Mozambique;1037777,8;1037,7778;1037,7778
Germany, Fed.Rep. Of;Senegal;1022343,9;1022,3439;1022,3439
Saudi Arabia;Guinea-Bissau;1005305,2;1005,3052;1005,3052
Korea, Republic Of;Senegal;995460,3;995,4603;995,4603
Spain;Cameroon;981397,9;981,3979;981,3979
Spain;Mongolia;980265,3;980,2653;980,2653
United Arab Emirates;Kyrgyz Republic;970483,3;970,4833;970,4833
Denmark;Kenya;965229,9;965,2299;965,2299
United Arab Emirates;Kenya;963960,3;963,9603;963,9603
India;Guinea;953428,6;953,4286;953,4286
Kuwait;Kenya;938359,9;938,3599;938,3599
Italy;Angola;933100,6;933,1006;933,1006
China;Burundi;931624,6;931,6246;931,6246
Multiple Lenders;Niger;927555,6;927,5556;927,5556
Germany, Fed.Rep. Of;Tajikistan;925291,5;925,2915;925,2915
United States;Tajikistan;903357,1;903,3571;903,3571
Kuwait;Nepal;895243,4;895,2434;895,2434
France;Mongolia;893366,3;893,3663;893,3663
Saudi Arabia;Madagascar;884092,7;884,0927;884,0927
United Arab Emirates;Sierra Leone;862439,1;862,4391;862,4391
Saudi Arabia;Liberia;856651;856,651;856,651
France;Djibouti;840939,3;840,9393;840,9393
Spain;Uzbekistan;832650,9;832,6509;832,6509
United Arab Emirates;Uganda;824996,6;824,9966;824,9966
Belgium;Burkina Faso;824438,5;824,4385;824,4385
Korea, Republic Of;Kyrgyz Republic;819547,4;819,5474;819,5474
Belgium;Senegal;818875,1;818,8751;818,8751
Japan;Maldives;816040,6;816,0406;816,0406
Spain;Djibouti;796356,5;796,3565;796,3565
Saudi Arabia;Zambia;777680;777,68;777,68
Belgium;Nepal;755981,1;755,9811;755,9811
Kuwait;Kyrgyz Republic;739883,7;739,8837;739,8837
France;Angola;739067;739,067;739,067
United Arab Emirates;Burkina Faso;724419;724,419;724,419
Libya;Guinea-Bissau;698625;698,625;698,625
United Arab Emirates;Mongolia;696255,9;696,2559;696,2559
United States;Grenada;678803,9;678,8039;678,8039
United Kingdom;Somalia;670120,8;670,1208;670,1208
United Arab Emirates;Djibouti;667828,5;667,8285;667,8285
Kuwait;Congo, Dem. Rep.;656014,7;656,0147;656,0147
Belgium;Mali;616804,6;616,8046;616,8046
Austria;Uganda;612736,6;612,7366;612,7366
United Arab Emirates;Niger;600816,9;600,8169;600,8169
Kuwait;Burundi;597024,8;597,0248;597,0248
Multiple Lenders;Guinea-Bissau;593000;593;593
Venezuela, Republic Bolivarian;Dominica;582000;582;582
Saudi Arabia;Central African Republic;580800;580,8;580,8
India;Lesotho;577857,1;577,8571;577,8571
Belgium;Niger;571837,2;571,8372;571,8372
Spain;Burkina Faso;571019,2;571,0192;571,0192
France;Nepal;559920,2;559,9202;559,9202
Venezuela, Republic Bolivarian;Grenada;558000;558;558
United States;Moldova;548600;548,6;548,6
Italy;Ghana;548394,1;548,3941;548,3941
Saudi Arabia;Togo;529315,6;529,3156;529,3156
France;Grenada;526200,2;526,2002;526,2002
Netherlands;Angola;521499,5;521,4995;521,4995
United Arab Emirates;Maldives;514146,1;514,1461;514,1461
Austria;Mali;510802,6;510,8026;510,8026
France;Comoros;504739,9;504,7399;504,7399
Sweden;Tanzania;489847,9;489,8479;489,8479
Finland;Myanmar;489671,5;489,6715;489,6715
United States;St. Vincent and the Grenadines;482666,6;482,6666;482,6666
Japan;Senegal;476804;476,804;476,804
Angola;Sao Tome and Principe;457142,9;457,1429;457,1429
Barbados;Grenada;450909;450,909;450,909
Kuwait;St. Vincent and the Grenadines;449366,4;449,3664;449,3664
Switzerland;Bangladesh;421277,6;421,2776;421,2776
France;Rwanda;414531,6;414,5316;414,5316
Kuwait;Congo, Rep.;406611,6;406,6116;406,6116
Spain;Uganda;402989,9;402,9899;402,9899
Denmark;Kyrgyz Republic;383265,5;383,2655;383,2655
Saudi Arabia;Chad;370787,6;370,7876;370,7876
United States;Cote d'Ivoire;361855,1;361,8551;361,8551
India;Comoros;356142,9;356,1429;356,1429
Germany, Fed.Rep. Of;Papua New Guinea;349725,3;349,7253;349,7253
United Arab Emirates;Malawi;341408,7;341,4087;341,4087
Germany, Fed.Rep. Of;Cambodia;330446,8;330,4468;330,4468
Belgium;Uzbekistan;328454;328,454;328,454
Germany, Fed.Rep. Of;Uganda;324413;324,413;324,413
Belgium;Maldives;314145,6;314,1456;314,1456
United Arab Emirates;Benin;314051,2;314,0512;314,0512
Germany, Fed.Rep. Of;Moldova;312487,1;312,4871;312,4871
France;Kyrgyz Republic;308471,6;308,4716;308,4716
China;Nicaragua;308000;308;308
France;Togo;287747,7;287,7477;287,7477
India;Fiji;274000;274;274
Austria;Senegal;272050,5;272,0505;272,0505
Libya;Pakistan;259215,9;259,2159;259,2159
